Type,Jap_name,Species,Date,Season,Region,Site_jap,Site,Point,Lat,Long,Depth,Cover,DW_g_m2,Source,Person_in_charge
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,100,979.264,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,60,0,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,50,0,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,445.12,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路深,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,40,445.12,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,80,302.956,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,80,329.3,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,70,105.376,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,80,421.504,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,70,447.848,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,100,658.6,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,60,144.892,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,368.816,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,223.924,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港東斜路浅,Kushiro,KaturakoiPortE,42.94444594,144.4473286,,90,474.192,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,90,0,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,100,1942.375,BC_project,Hasegawa
Makombu,Onikombu,Saccharina japonica var. diabolica,2022/8/1,Flourish,Hokkaido,釧路市桂恋漁港西斜路,Kushiro,KaturakoiPortW,42.94669942,144.4441313,,70,932.34,BC_project,Hasegawa
